match_id,season_id,date_match,home_team_id,away_team_id,points_home,points_away,goal_diff_home,goal_diff_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,possession_home,possession_away,shots_on_target_home,shots_on_target_away,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_avg_goal_diff_home,h2h_avg_goals_home_scored,h2h_avg_goals_away_scored,result
4298,6,2023-09-18,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.3333333333333333,0.6666666666666666,1.0,draw
4310,6,2023-09-23,15,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.8,1.2,0.4,home_win
4303,6,2023-09-23,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-0.2,0.6,0.8,away_win
4305,6,2023-09-23,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.2,1.0,0.8,away_win
4307,6,2023-09-23,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-0.8,0.2,1.0,draw
4309,6,2023-09-23,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1.5,1.0,draw
4304,6,2023-09-24,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.0,1.8,0.8,home_win
4302,6,2023-09-24,27,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-0.2,1.2,1.4,draw
4311,6,2023-09-24,20,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.2,2.0,1.8,away_win
4306,6,2023-09-24,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.6,1.4,0.8,away_win
4308,6,2023-09-24,13,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-0.4,1.4,1.8,home_win
4319,6,2023-09-30,22,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.8,2.8,2.0,home_win
4321,6,2023-09-30,26,15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.2,1.8,1.6,home_win
